Crater ID,position,lon,lat,Clinopyroxene Abundance,FeO Abundance,TerrainHeight,Iron Abundance,Olivine Abundance,Orthopyroxene Abundance,Plagioclase Abundance,TerrainSlope,Titanium Abundance
D_1_8_3,9.377701,-51.272939,11.618138,23.515408,17.923874,-1735.317801,21.123883,8.850734,33.437507,34.196351,12.474742,5.378503
D_1_8_3,9.449287,-51.270972,11.619502,28.836171,17.726203,-1745.616788,21.123241,6.694171,31.411367,33.05829,13.259122,5.37964
D_1_8_3,9.520872,-51.269004,11.620865,33.910953,17.363359,-1759.462333,21.12261,6.84053,27.584089,31.664429,13.650872,5.380777
D_1_8_3,9.592458,-51.267037,11.622229,33.311814,17.024133,-1773.199496,21.121985,6.845105,27.875196,31.967887,14.311065,5.381915
D_1_8_3,9.664043,-51.265069,11.623592,34.985258,16.746738,-1792.392679,21.12137,8.464879,24.271352,32.27851,17.397629,5.383054
D_1_8_3,9.735629,-51.263102,11.624956,38.119424,16.441513,-1817.00207,21.120764,7.061136,25.430801,29.388643,21.43651,5.384192
D_1_8_3,9.807214,-51.261134,11.626319,35.87023,16.48752,-1849.009009,21.120165,8.37181,19.922358,35.835603,24.073282,5.385332
D_1_8_3,9.8788,-51.259166,11.627683,35.281731,16.786343,-1883.132974,21.119576,7.244374,19.992353,37.481542,24.934136,5.386472
D_1_8_3,9.950385,-51.257199,11.629046,32.624585,16.776298,-1917.905095,21.118995,7.590157,19.777141,40.008116,25.007757,5.387613
D_1_8_3,10.021971,-51.255231,11.63041,34.95834,16.815445,-1950.776995,21.118423,5.839534,20.197202,39.004923,24.685646,5.388754
D_1_8_3,10.093556,-51.253264,11.631773,35.784349,16.928131,-1982.523572,21.117859,3.525053,23.233143,37.457456,23.809921,5.389895
D_1_8_3,10.165142,-51.251296,11.633136,33.458013,17.026025,-2012.302487,21.116743,3.513593,25.772522,37.25587,22.773683,5.391037
D_1_8_3,10.236727,-51.249328,11.6345,31.55494,17.173085,-2041.724081,21.113321,6.196644,24.214856,38.033559,22.424961,5.39218
D_1_8_3,10.308313,-51.247361,11.635863,32.55148,17.344791,-2070.829355,21.109902,6.354628,23.89647,37.197423,22.695775,5.393324
D_1_8_3,10.379898,-51.245393,11.637227,29.916173,17.373094,-2099.343217,21.106485,8.640622,23.235418,38.207786,21.383568,5.394468
D_1_8_3,10.451484,-51.243425,11.63859,33.746889,17.5998,-2123.038758,21.103069,9.126124,19.817958,37.30903,19.372532,5.395612
D_1_8_3,10.523069,-51.241457,11.639953,37.830337,17.689977,-2146.613225,21.099655,10.913305,13.861262,37.395095,19.71649,5.396757
D_1_8_3,10.594655,-51.23949,11.641317,42.231173,17.605284,-2173.786873,21.096244,9.283274,11.872673,36.612879,17.625093,5.397902
D_1_8_3,10.66624,-51.237522,11.64268,46.876911,17.680183,-2193.693036,21.092834,7.529794,10.465805,35.127488,13.049644,5.399048
D_1_8_3,10.737826,-51.235554,11.644043,40.074575,18.077362,-2209.711015,21.089428,11.496867,12.862472,35.566087,8.699667,5.400195
D_1_8_3,10.809411,-51.233586,11.645406,32.266884,18.270734,-2216.779749,21.086023,15.802669,14.601093,37.329353,5.020042,5.401342
D_1_8_3,10.880997,-51.231618,11.64677,30.50661,18.297517,-2221.030373,21.08262,15.426038,16.83248,37.234871,3.484088,5.40249
D_1_8_3,10.952582,-51.229651,11.648133,32.631365,18.250617,-2224.271439,21.07922,12.950991,18.335286,36.08236,2.405764,5.403638
D_1_8_3,11.024168,-51.227683,11.649496,32.762432,18.239045,-2226.835838,21.075822,12.784203,18.374381,36.078986,2.518763,5.404787
D_1_8_3,11.095753,-51.225715,11.650859,29.186498,18.273601,-2231.068234,21.072425,12.742663,21.784155,36.286685,2.721564,5.405936
D_1_8_3,11.167339,-51.223747,11.652223,28.920359,18.282739,-2234.094301,21.069031,12.741102,22.044049,36.294492,1.550831,5.407086
D_1_8_3,11.238924,-51.221779,11.653586,29.828814,18.217391,-2231.343431,21.065639,12.700483,20.973118,36.497585,2.435357,5.408236
D_1_8_3,11.31051,-51.219811,11.654949,29.467809,18.483799,-2228.023883,21.062249,12.865804,21.995405,35.670985,0.247314,5.409387
D_1_8_3,11.382095,-51.217843,11.656312,28.932241,18.664636,-2231.317528,21.058861,14.889933,20.410142,35.767683,3.834553,5.410539
D_1_8_3,11.453681,-51.215875,11.657675,21.497717,18.693719,-2237.696316,21.055476,17.509888,23.689891,37.302505,3.72827,5.411691
D_1_8_3,11.525266,-51.213907,11.659038,23.839578,18.783274,-2239.918116,21.052093,16.033405,24.059936,36.067081,1.583189,5.412844
D_1_8_3,11.596852,-51.211939,11.660402,18.618925,18.798159,-2240.544376,21.048711,17.71356,26.38979,37.277725,1.537341,5.413997
D_1_8_3,11.668437,-51.209971,11.661765,17.354272,18.72422,-2242.503711,21.045331,19.038039,25.420025,38.187662,2.067019,5.415151
D_1_8_3,11.740023,-51.208003,11.663128,19.464201,18.523647,-2244.116636,21.041955,18.069083,24.067747,38.398967,1.903772,5.416305
D_1_8_3,11.811608,-51.206035,11.664491,17.127005,18.402383,-2247.201191,21.03858,18.294381,25.310457,39.268156,4.072332,5.41746
D_1_8_3,11.883194,-51.204067,11.665854,19.745462,18.346796,-2252.874389,21.035207,17.894142,23.36179,38.998604,3.500543,5.418615
D_1_8_3,11.954779,-51.202099,11.667217,23.595341,18.197483,-2253.514938,21.031836,15.399299,22.727028,38.278333,2.129496,5.419771
D_1_8_3,12.026365,-51.20013,11.66858,19.877683,18.108747,-2254.930714,21.028467,18.124812,21.821551,40.175955,2.280526,5.420927
D_1_8_3,12.09795,-51.198163,11.669944,18.741018,18.186407,-2258.294521,21.025102,18.357017,22.718479,40.183489,1.949042,5.422084
D_1_8_3,12.169536,-51.196194,11.671306,25.869973,18.214917,-2258.391463,21.021738,16.915784,18.585625,38.628619,1.793244,5.423242
D_1_8_3,12.241121,-51.194226,11.672669,21.197939,18.090631,-2262.89322,21.018375,18.963178,19.452277,40.386608,2.202989,5.4244
D_1_8_3,12.312707,-51.192258,11.674032,23.744653,18.070426,-2265.667128,21.015015,17.935439,18.466805,39.853102,1.78912,5.425559
D_1_8_3,12.384292,-51.190289,11.675395,25.291823,18.20424,-2267.61852,21.011657,17.367222,18.367103,38.97385,2.189976,5.426718
D_1_8_3,12.455878,-51.188321,11.676758,26.807274,18.031071,-2271.026439,21.008301,15.90974,18.353145,38.929838,3.688145,5.427877
D_1_8_3,12.527464,-51.186353,11.678121,24.441814,18.008757,-2276.062608,21.004948,16.233162,20.473123,38.8519,4.573043,5.429038
D_1_8_3,12.599049,-51.184385,11.679484,22.936431,18.22566,-2280.082946,21.001597,16.622291,22.517794,37.923484,3.643606,5.430198
D_1_8_3,12.670635,-51.182416,11.680847,20.918845,18.250899,-2280.505716,20.998247,17.070141,24.350608,37.660407,2.391734,5.43136
D_1_8_3,12.74222,-51.180448,11.68221,27.286922,18.055794,-2280.761737,20.994901,13.150112,23.40613,36.156835,0.945744,5.432522
D_1_8_3,12.813806,-51.178479,11.683573,29.969834,17.908146,-2282.177152,20.991556,12.930295,20.369442,36.730431,1.736795,5.433684
D_1_8_3,12.885391,-51.176511,11.684936,25.800638,18.49118,-2285.334744,20.988214,13.11486,25.316117,35.768387,2.212181,5.434847
D_1_8_3,12.956977,-51.174543,11.686299,26.338838,19.173898,-2287.734123,20.984873,13.256076,27.346319,33.058772,1.647432,5.436011
